x,y,z,Bx,By,Bz,magnitude
-39.2,-4.5,65,-1.268107323,-0.253093018,-1.16938913,1.743451518
-43.2,-4.5,65,-1.396117426,-0.232216658,-0.914178662,1.684871232
44.8,-0.5,65,1.529489437,-0.067633302,-0.883106777,1.767424618
40.8,-0.5,65,1.375262917,-0.081227205,-1.197062583,1.825076649
36.8,-0.5,65,1.182520404,-0.092555458,-1.412138928,1.84419559
32.8,-0.5,65,0.996413183,-0.101618061,-1.548079041,1.843831385
28.8,-0.5,65,0.830049613,-0.108091348,-1.633689035,1.835648649
24.8,-0.5,65,0.669350243,-0.113108146,-1.686446838,1.817945582
20.8,-0.5,65,0.532763908,-0.117639448,-1.717842599,1.802403844
16.8,-0.5,65,0.419643251,-0.121037924,-1.739852005,1.793832666
12.8,-0.5,65,0.307655425,-0.122818078,-1.750533042,1.781600985
8.8,-0.5,65,0.201493556,-0.125569225,-1.756035394,1.7720123
4.8,-0.5,65,0.098244658,-0.127511212,-1.756035394,1.763397694
0.8,-0.5,65,-0.003224099,-0.130424191,-1.752798716,1.757647349
-3.2,-0.5,65,-0.102103557,-0.132204345,-1.748105533,1.756068359
-7.2,-0.5,65,-0.203734185,-0.133175339,-1.740013839,1.756955164
-11.2,-0.5,65,-0.309734311,-0.136897479,-1.728038132,1.760906598
-15.2,-0.5,65,-0.415087145,-0.138353969,-1.708941738,1.76406378
-19.2,-0.5,65,-0.530797295,-0.140781452,-1.684342998,1.771602812
-23.2,-0.5,65,-0.651200647,-0.14207611,-1.647930402,1.777617089
-27.2,-0.5,65,-0.791671316,-0.142237942,-1.588861108,1.780857862
-31.2,-0.5,65,-0.943146727,-0.140943284,-1.503736652,1.780621991
-35.2,-0.5,65,-1.104817763,-0.133822667,-1.373298927,1.767620078
-39.2,-0.5,65,-1.266003491,-0.122008917,-1.188161764,1.740511245
-43.2,-0.5,65,-1.39433726,-0.101779893,-0.943794058,1.686796598
44.8,3.5,65,1.527061946,0.076235487,-0.877604464,1.762929276
40.8,3.5,65,1.382383551,0.063450748,-1.192207591,1.82657308
36.8,3.5,65,1.191906686,0.046134708,-1.411167928,1.847745892
32.8,3.5,65,1.00110632,0.029951493,-1.550992045,1.846263058
28.8,3.5,65,0.833771755,0.01619576,-1.636763876,1.836963153
24.8,3.5,65,0.675014369,0.004867509,-1.691301852,1.821035432
20.8,3.5,65,0.545386815,-0.00403326,-1.724963288,1.809132773
16.8,3.5,65,0.414302791,-0.011801203,-1.742926848,1.791530092
12.8,3.5,65,0.303771455,-0.018436322,-1.754255221,1.78045735
8.8,3.5,65,0.201493556,-0.023453119,-1.758624737,1.770285476
4.8,3.5,65,0.097273665,-0.027013427,-1.760243076,1.763135723
0.8,3.5,65,-0.00484242,-0.029279077,-1.757815568,1.758066063
-3.2,3.5,65,-0.10307455,-0.032030224,-1.75376972,1.757088082
-7.2,3.5,65,-0.200659372,-0.033648546,-1.744707021,1.756530386
-11.2,3.5,65,-0.306174001,-0.033648546,-1.731922145,1.759098934
-15.2,3.5,65,-0.414601648,-0.033810378,-1.714282254,1.764029851
