x,y,z,Bx,By,Bz,magnitude
26.0,-4.0,-65.0,-0.7154481631888304,-0.012772196245730992,-1.625597350136169,1.7761182246621268
30.0,-4.0,-65.0,-0.8612593610430134,-0.014390517868352612,-1.5663662356767076,1.7875899860585363
34.0,-4.0,-65.0,-1.0329639464792006,-0.015685175169678857,-1.4631164504320804,1.7910807594776286
38.0,-4.0,-65.0,-1.210818394815339,-0.015199678681344348,-1.3037106244472134,1.7793182986053264
38.0,-0.0,-65.0,-1.195444251989351,-0.11246081738387707,-1.3139061173889353,1.7799111439544095
34.0,-0.0,-65.0,-1.0251959685317742,-0.11585929346421608,-1.4674859534243858,1.7938687725900433
30.0,-0.0,-65.0,-0.8538150571554336,-0.11569746126933002,-1.568308238882602,1.789406825324122
26.0,-0.0,-65.0,-0.7081656980330285,-0.11278448177137328,-1.6281866892682835,1.7791039571395082
22.0,-0.0,-65.0,-0.5652676027316849,-0.10792951598326168,-1.6676741194305549,1.7641749379630365
18.0,-0.0,-65.0,-0.4443788003565429,-0.10372187900878632,-1.6914636854595473,1.7519361134527216
14.0,-0.0,-65.0,-0.32769769497792184,-0.09741042361912496,-1.7045722243466763,1.7385169075788927
10.0,-0.0,-65.0,-0.22218305920124104,-0.09401194767549402,-1.7121784143991359,1.7290918080992983
6.0,-0.0,-65.0,-0.11165165641615331,-0.0880241567867548,-1.7150914235158166,1.720974414561704
2.0,-0.0,-65.0,-0.015199678681344348,-0.08397835217475284,-1.7165479281075404,1.7186681422998138
-2.0,-0.0,-65.0,0.0833561008938803,-0.07701956832126121,-1.7120165805619287,1.7157741767434265
-6.0,-0.0,-65.0,0.18579583970782113,-0.07329742816114435,-1.7068378979160646,1.7184842788894819
-10.0,-0.0,-65.0,0.28645541810701436,-0.06844246277686131,-1.6958331982233295,1.7212179738400923
-14.0,-0.0,-65.0,0.3956920971847528,-0.06277833655449956,-1.6817536578039185,1.7288171450017138
-18.0,-0.0,-65.0,0.506870766663729,-0.057437874745392976,-1.6582877616445557,1.7349741738635922
-22.0,-0.0,-65.0,0.6363364819336192,-0.05047909125864606,-1.6247881816711807,1.74568293002833
-26.0,-0.0,-65.0,0.7732465060944822,-0.04319664352213647,-1.573486914277928,1.753749462894509
-30.0,-0.0,-65.0,0.9231031556965129,-0.034295874200281434,-1.496130477417634,1.7583236472566535
-34.0,-0.0,-65.0,1.0820224875724689,-0.024262279864296674,-1.3776684266559622,1.751950802859898
-38.0,-0.0,-65.0,1.2393235944321959,-0.01730349680039122,-1.2104947286314294,1.7324895009096988
-38.0,4.0,-65.0,1.239161761960652,-0.14175244541545565,-1.2096855631752712,1.7375139682435254
-34.0,4.0,-65.0,1.0761965226516101,-0.1467692437870187,-1.3849509261460657,1.7600651221253367
-30.0,4.0,-65.0,0.9166298649703443,-0.1506532167612304,-1.500823648744645,1.7650434345101107
-26.0,4.0,-65.0,0.7622419164098467,-0.1543753575623856,-1.5781800890810718,1.7594024223373714
-22.0,4.0,-65.0,0.6313196850250781,-0.15825933060826813,-1.6277011881758847,1.753003627610031
-18.0,4.0,-65.0,0.5044432846940415,-0.1584211628193151,-1.6610389353850923,1.7431611047654714
-14.0,4.0,-65.0,0.3871149948886608,-0.16149597484145595,-1.6846666659982115,1.7360992899840637
-10.0,4.0,-65.0,0.27933480495898805,-0.16521811574165285,-1.6968042010866606,1.7275617082628447
-6.0,4.0,-65.0,0.17511491950150082,-0.16732193452658214,-1.7071615655732124,1.7242570793753802
-2.0,4.0,-65.0,0.07105685820788844,-0.17250056542908154,-1.7118547467249956,1.7219907653807636
2.0,4.0,-65.0,-0.02879358050985903,-0.17913568637213606,-1.7142822543078122,1.7238568130344436
6.0,4.0,-65.0,-0.12912953364623742,-0.18334332410172302,-1.7139585866265332,1.7285668189639611
10.0,4.0,-65.0,-0.23415864502382375,-0.19062577412669865,-1.7091035715391003,1.7355700720652292
14.0,4.0,-65.0,-0.3411297753792144,-0.1980700565182378,-1.7008500464561307,1.7459931705104785
18.0,4.0,-65.0,-0.4563543952004409,-0.20794182252613888,-1.6846666659982115,1.7577260625876212
22.0,4.0,-65.0,-0.5778905335703998,-0.21441511185482476,-1.6605534341311472,1.7712619841758994
26.0,4.0,-65.0,-0.7172283213809648,-0.2242868783030556,-1.6207423394446652,1.7864844806598383
30.0,4.0,-65.0,-0.8695128287909356,-0.23415864502382375,-1.553095881416142,1.7952686838863956
34.0,4.0,-65.0,-1.0368479356105218,-0.2424120895441372,-1.4493606088225095,1.7984614082996917
38.0,4.0,-65.0,-1.215349721476939,-0.2461342312547948,-1.284776139859485,1.785583023788505
38.0,8.0,-65.0,-1.2104947286314294,-0.41621997144377426,-1.2363880259704996,1.7796606146780805
34.0,8.0,-65.0,-1.0336112779937758,-0.40181689345543975,-1.411815261645158,1.7952803187458757
